X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
266,20,21,MR3,0,Comb,RT3,868.0866667,Comb,4,1,4
348,20,21,MR4,0,Comb,RT4,808.7533333,Comb,4,1,4
430,20,21,MR5,0,Comb,RT5,917.49,Comb,4,1,4
512,20,21,MR6,0.1,Vis,RT6,1095.396296,Vis,4,1,4
21,21,20,MR0,0.13,Vest,RT0,922.8269231,Vest,1,3,5
103,21,20,MR1,0,Comb,RT1,707.6,Comb,1,3,5
185,21,20,MR2,0,Comb,RT2,670.0633333,Comb,1,3,5
267,21,20,MR3,0,Comb,RT3,630.66,Comb,1,3,5
349,21,20,MR4,0,Comb,RT4,663.27,Comb,1,3,5
431,21,20,MR5,0,Comb,RT5,704.64,Comb,1,3,5
513,21,20,MR6,0,Vis,RT6,780.8333333,Vis,1,3,5
22,22,21,MR0,0.07,Vest,RT0,1012.7,Vest,1,3,5
104,22,21,MR1,0,Comb,RT1,757.47,Comb,1,3,5
186,22,21,MR2,0,Comb,RT2,702.6933333,Comb,1,3,5
268,22,21,MR3,0,Comb,RT3,671.7866667,Comb,1,3,5
350,22,21,MR4,0,Comb,RT4,692.4733333,Comb,1,3,5
432,22,21,MR5,0,Comb,RT5,727.1966667,Comb,1,3,5
514,22,21,MR6,0,Vis,RT6,793.58,Vis,1,3,5
23,23,20,MR0,0,Vest,RT0,1032.073333,Vest,1,1,5
105,23,20,MR1,0,Comb,RT1,643.35,Comb,1,1,5
187,23,20,MR2,0,Comb,RT2,617.88,Comb,1,1,5
269,23,20,MR3,0,Comb,RT3,616.2033333,Comb,1,1,5
351,23,20,MR4,0,Comb,RT4,610.1066667,Comb,1,1,5
433,23,20,MR5,0,Comb,RT5,626.9666667,Comb,1,1,5
515,23,20,MR6,0,Vis,RT6,728.8166667,Vis,1,1,5
24,24,18,MR0,0.83,Vest,RT0,1483.46,Vest,2,2,5
106,24,18,MR1,0,Comb,RT1,693.7166667,Comb,2,2,5
188,24,18,MR2,0,Comb,RT2,681.6133333,Comb,2,2,5
270,24,18,MR3,0,Comb,RT3,595.1066667,Comb,2,2,5
352,24,18,MR4,0,Comb,RT4,646.1033333,Comb,2,2,5
434,24,18,MR5,0,Comb,RT5,644.1266667,Comb,2,2,5
516,24,18,MR6,0.03,Vis,RT6,719.3103448,Vis,2,2,5
25,25,54,MR0,1,Vest,RT0,,Vest,1,2,3
107,25,54,MR1,0.03,Comb,RT1,916.2965517,Comb,1,2,3
189,25,54,MR2,0,Comb,RT2,899.35,Comb,1,2,3
271,25,54,MR3,0.03,Comb,RT3,865.9724138,Comb,1,2,3
353,25,54,MR4,0.03,Comb,RT4,860.7655172,Comb,1,2,3
435,25,54,MR5,0.03,Comb,RT5,855.7862069,Comb,1,2,3
517,25,54,MR6,0.07,Vis,RT6,939.3071429,Vis,1,2,3
26,26,49,MR0,0.6,Vest,RT0,1340.808333,Vest,1,3,5
