sID,age,gender,cond,soa,rt,mr,rmv,mre,gameHr,driveHr,compHr,compensation
126,20,1,Vis,Inf,780.833333333333,0,NaN,NaN,1,3,5,Declined
127,21,1,Ves,-Inf,1012.7,6.66666666666667,NaN,NaN,1,3,5,Declined
127,21,1,Com,-100,757.47,0,81.9000000000002,15.2319881823676,1,3,5,Declined
127,21,1,Com,-50,702.693333333333,0,103.053333333334,16.7010439634257,1,3,5,Declined
127,21,1,Com,0,671.786666666667,0,98.356666666667,15.3473289817452,1,3,5,Declined
127,21,1,Com,50,692.473333333333,0,85.3666666666672,12.7405764594202,1,3,5,Declined
127,21,1,Com,100,727.196666666667,0,63.3333333333325,8.36504616211766,1,3,5,Declined
127,21,1,Vis,Inf,793.58,0,NaN,NaN,1,3,5,Declined
128,20,1,Ves,-Inf,1032.07333333333,0,NaN,NaN,1,1,5,Declined
128,20,1,Com,-100,643.35,0,114.7,22.3772848840717,1,1,5,Declined
128,20,1,Com,-50,617.88,0,88.1366666666661,20.6642556014466,1,1,5,Declined
128,20,1,Com,0,616.203333333333,0,101.066666666667,15.4515310206042,1,1,5,Declined
128,20,1,Com,50,610.106666666667,0,82.1466666666669,16.2880468339088,1,1,5,Declined
128,20,1,Com,100,626.966666666667,0,54.5366666666666,13.9747078597727,1,1,5,Declined
128,20,1,Vis,Inf,728.816666666666,0,NaN,NaN,1,1,5,Declined
129,18,1,Ves,-Inf,1483.46,83.3333333333333,NaN,NaN,2,2,5,Credit
129,18,1,Com,-100,693.716666666667,0,112.426666666668,17.8171972578297,2,2,5,Credit
129,18,1,Com,-50,681.613333333333,0,96.2266666666661,14.1668318734247,2,2,5,Credit
129,18,1,Com,0,595.106666666667,0,104.873333333334,20.0248151699158,2,2,5,Credit
129,18,1,Com,50,646.103333333333,0,78.6699999999991,13.1714759774155,2,2,5,Credit
129,18,1,Com,100,644.126666666667,0,69.5799999999991,13.4371162245659,2,2,5,Credit
129,18,1,Vis,Inf,719.310344827586,3.33333333333333,NaN,NaN,2,2,5,Credit
130,54,0,Ves,-Inf,NaN,100,NaN,NaN,1,2,3,Money
130,54,0,Com,-100,916.296551724138,3.33333333333333,70.9200000000002,14.3264147295659,1,2,3,Money
130,54,0,Com,-50,899.35,0,79.0933333333335,14.8665689468232,1,2,3,Money
130,54,0,Com,0,865.972413793104,3.33333333333333,74.7999999999998,10.9863794357132,1,2,3,Money
130,54,0,Com,50,860.765517241379,3.33333333333333,84.7533333333327,11.5215982332065,1,2,3,Money
130,54,0,Com,100,855.786206896552,3.33333333333333,75.5833333333318,12.0334233614053,1,2,3,Money
130,54,0,Vis,Inf,939.307142857143,6.66666666666667,NaN,NaN,1,2,3,Money
131,49,1,Ves,-Inf,1340.80833333333,60,NaN,NaN,1,3,5,Money
131,49,1,Com,-100,828.968965517241,3.33333333333333,54.7566666666668,11.5432402366196,1,3,5,Money
131,49,1,Com,-50,815.337931034483,3.33333333333333,65.3733333333325,8.26661424837732,1,3,5,Money
131,49,1,Com,0,751.335714285714,6.66666666666667,46.0833333333336,7.41364801308457,1,3,5,Money
131,49,1,Com,50,667.621428571429,6.66666666666667,120.420000000002,17.7296760896211,1,3,5,Money
131,49,1,Com,100,722.224137931034,3.33333333333333,73.8533333333329,14.0699682857483,1,3,5,Money
131,49,1,Vis,Inf,840.479310344827,3.33333333333333,NaN,NaN,1,3,5,Money
132,22,0,Ves,-Inf,1098.22222222222,10,NaN,NaN,2,3,4,Credit
132,22,0,Com,-100,620.74,0,144.073333333336,31.2141012902297,2,3,4,Credit
132,22,0,Com,-50,716.34,0,27.07,15.9642900436794,2,3,4,Credit
132,22,0,Com,0,587.616666666667,0,92.6699999999979,26.7697433191956,2,3,4,Credit
132,22,0,Com,50,693.306666666667,0,27.29,13.5983915389632,2,3,4,Credit
132,22,0,Com,100,728.636666666667,0,6.32999999999998,9.19547869578406,2,3,4,Credit
132,22,0,Vis,Inf,802.423333333334,0,NaN,NaN,2,3,4,Credit
133,18,1,Ves,-Inf,856.9,73.3333333333333,NaN,NaN,1,3,4,Credit
133,18,1,Com,-100,496.686666666667,0,89.3533333333331,16.7861770093375,1,3,4,Credit
133,18,1,Com,-50,491.013333333333,0,54.8299999999999,10.2155256485274,1,3,4,Credit
133,18,1,Com,0,409.073333333333,0,57.1900000000001,17.6716041431868,1,3,4,Credit
133,18,1,Com,50,497.366666666667,0,76.9266666666669,-0.0979445070573623,1,3,4,Credit
133,18,1,Com,100,449.037931034483,3.33333333333333,65.0066666666664,6.51223683346508,1,3,4,Credit
133,18,1,Vis,Inf,496.88,0,NaN,NaN,1,3,4,Credit
134,18,0,Ves,-Inf,1106.59310344828,3.33333333333333,NaN,NaN,5,3,4,Credit
